root:2018-12-07 14:30:16,688 -- DEBUG -- starting game
root:2018-12-07 14:30:18,642 -- INFO -- initializing shell
root:2018-12-07 14:30:33,968 -- INFO -- moving to map with characters angel, angel, angel, angel
root:2018-12-07 14:31:15,494 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:15,529 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:15,564 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:15,599 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:15,634 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:15,668 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:15,703 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:15,738 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:15,738 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:15,774 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:15,774 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:15,809 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:15,810 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:15,846 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:15,846 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:15,880 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:15,881 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:15,915 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:15,916 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:15,951 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:15,951 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:15,986 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:15,987 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:16,021 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:16,022 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:16,057 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:16,058 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:16,092 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:16,093 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:16,127 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:16,162 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:16,197 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:16,232 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:16,267 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:16,301 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:16,337 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:16,373 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:16,408 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:16,443 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:16,479 -- WARNING -- no top level terrain for character to go to
